Language	Stars	GitHub Link
Clue	375	https://github.com/ClueLang/Clue
aprenda-go	374	https://github.com/geiltonxavier/aprenda-go
pareas	372	https://github.com/Snektron/pareas
nuri	371	https://github.com/suhdonghwi/nuri
sui-lang	371	https://github.com/TakatoHonda/sui-lang
vox	371	https://github.com/MrSmith33/vox
endbasic	367	https://github.com/endbasic/endbasic
PythonPersianTutorial	366	https://github.com/saeiddrv/PythonPersianTutorial
kairo	366	https://github.com/kairolang/kairo
miniscript	363	https://github.com/JoeStrout/miniscript
cparse	362	https://github.com/cparse/cparse
mastering-Go-3rd	360	https://github.com/mactsouk/mastering-Go-3rd
loxcraft	359	https://github.com/ajeetdsouza/loxcraft
bitloops-language	359	https://github.com/bitloops/bitloops-language
Ultimate-Java-Resources	355	https://github.com/sPredictorX1708/Ultimate-Java-Resources
quine	347	https://github.com/makenowjust/quine
NeoHaskell	346	https://github.com/neohaskell/NeoHaskell
candy	343	https://github.com/candy-lang/candy
vera	340	https://github.com/aallan/vera
nimskull	339	https://github.com/nim-works/nimskull
Clojush	337	https://github.com/lspector/Clojush
ciao	334	https://github.com/ciao-lang/ciao
StaticScript	331	https://github.com/StaticScript/StaticScript
agora	328	https://github.com/mna/agora
quack	325	https://github.com/quack/quack
bamboo	325	https://github.com/pirapira/bamboo
concrete	321	https://github.com/lambdaclass/concrete
alan	320	https://github.com/alantech/alan
vedic	317	https://github.com/vedic-lang/vedic
Python-100-days	317	https://github.com/BEPb/Python-100-days
luna	317	https://github.com/thomscoder/luna
psvg	316	https://github.com/LingDong-/psvg
naturalcc	316	https://github.com/CGCL-codes/naturalcc
gdl	309	https://github.com/gnudatalanguage/gdl
lawvere	306	https://github.com/jameshaydon/lawvere
ghost-lang	303	https://github.com/jamiebuilds/ghost-lang
Vyxal	301	https://github.com/Vyxal/Vyxal
c2go	301	https://github.com/goplus/c2go
nadesiko3	300	https://github.com/kujirahand/nadesiko3
rad	299	https://github.com/amterp/rad
Resources	296	https://github.com/Devs-Dungeon/Resources
