Language	dirname	runtime	year	github link	github is mirror	gitlab link	sourcehut link	svn link	sourceforge link	wiki link	website link	github stars	Tiobe name	Tiobe Rank	Tiobe rating	pypl name	pypl rank	pypl share	redmonk name	redmonk rank	Linux	Free	CLI	Notes
(Visual) FoxPro	visual-foxpro			https://github.com/VFPX/Win32API								152	(Visual) FoxPro	50	0.23
ABAP	abap												ABAP	37	0.34	Abap	23	0.35			No	No	Limited	SAP-specific
ActionScript	actionscript												ActionScript	51							Yes	Freemium	Limited	Adobe Flash ecosystem
Ada	ada			https://github.com/AdaCore/gnatstudio						https://en.wikipedia.org/wiki/Ada_(programming_language)		503	Ada	20	0.91	Ada	11	2.51			Yes	Yes	Yes	GNAT compiler available
AssemblyScript	assemblyscript	Wasmtime
Emscripten	emscripten	Wasmtime
Go	go	Wasmtime
Grain	grain	Wasmtime
Kotlin	kotlin	Wasmtime
Moonbit	moonbit	Wasmtime
Rust	rust	Wasmtime
Switf	switf	Wasmtime
Zig	zig	Wasmtime
gleam	gleam		2016	https://github.com/gleam-lang/gleam						https://en.wikipedia.org/wiki/Gleam_(programming_language)	https://gleam.run	21,396
gluon	gluon		2015	https://github.com/gluon-lang/gluon								3,395
GML	gml												GML	46	0.25						Yes	Freemium	No	Game Maker Language
Go	go		2009	https://github.com/golang/go						https://en.wikipedia.org/wiki/Go_(programming_language)	https://go.dev	133,685	Go	15	1.09	Go	21	0.71	Go	12
gosu	gosu		2002	https://github.com/gosu-lang/gosu-lang								466
gravity	gravity		2017	https://github.com/marcobambini/gravity								4,507
Groovy	groovy		2003	https://github.com/apache/groovy						https://en.wikipedia.org/wiki/Apache_Groovy	https://groovy-lang.org	5,443	Groovy	69		Groovy	29	0.05
hack	hack		2014	https://github.com/facebook/hhvm						https://en.wikipedia.org/wiki/Hack_(programming_language)	https://hhvm.com	18,616
hare	hare		2022	https://github.com/liudonghua123/hare	TRUE		https://git.sr.ht/~sircmpwn/hare					18
Haskell	haskell		1990	https://github.com/ghc/ghc	TRUE	https://gitlab.haskell.org/ghc/ghc				https://en.wikipedia.org/wiki/Haskell	http://www.haskell.org/ghc/	3,239	Haskell	35	0.36	Haskell	27	0.11
haxe	haxe		2005	https://github.com/haxefoundation/haxe						https://en.wikipedia.org/wiki/Haxe		6,852
Hilbish			2021	https://github.com/sammy-ette/Hilbish							https://hilbish.sammyette.party/	560
Icon	icon		1977	https://github.com/gtownsend/icon								159	Icon	70							Yes	Yes	Yes	Text processing
idris	idris		2007	https://github.com/idris-lang/Idris-dev								3,471
imba	imba		2015	https://github.com/imba/imba								6,498
